"ZZOfoYear_ID[ZZOfoYear]","Value","Name","ZZMigrationCode","ZZOfoLevelType","IsSummary"
2022,"2021-142101",Importer or Exporter,128,,N
2022,"2021-142102",Wholesaler,129,,N
2022,"2021-142103",Retail General Manager,130,,N
2022,"2021-142104",Post Office Manager,131,,N
2022,"2021-143101",Betting Agency Manager,132,,N
2022,"2021-143102",Gaming Manager,133,,N
2022,"2021-143103",Cinema or Theatre Manager,134,,N
2022,"2021-143104",Arts / Culture Manager,135,,N
2022,"2021-143105",Sports Administrator,136,,N
2022,"2021-143106",Amusement Centre Manager,137,,N
2022,"2021-143107",Fitness Centre Manager,138,,N
2022,"2021-143108",Facility Centre Manager,139,,N
2022,"2021-143109",Club Membership Manager,140,,N
2022,"2021-143901",Facilities Manager,141,,N
2022,"2021-143902",Cleaning Services Manager,142,,N
2022,"2021-143903",Boarding Kennel or Cattery Manager,143,,N
2022,"2021-143904",Security Services Manager,144,,N
2022,"2021-143905",Call or Contact Centre Manager,145,,N
2022,"2021-143906",Caravan Park and Camping Ground Manager,146,,N
2022,"2021-143907",Dockmaster,147,,N
2022,"2021-143908",Travel Accommodation Inspector,148,,N
2022,"2021-143909",Travel Agency Manager,149,,N
2022,"2021-211101",Physicist,150,,N
2022,"2021-211201",Meteorologist,151,,N
2022,"2021-211205",Climate Change Scientist,152,,N
2022,"2021-211301",Chemist,153,,N
2022,"2021-211302",Manufacturing Research Chemist,154,,N
2022,"2021-211401",Geologist,155,,N
2022,"2021-211402",Geophysicist,156,,N
2022,"2021-211403",Materials Scientist,157,,N
2022,"2021-211404",Gemologist,158,,N
2022,"2021-211405",Mineralogist,159,,N
2022,"2021-211406",Hydrologist,160,,N
2022,"2021-211407",Oceanographer,161,,N
2022,"2021-212101",Actuary,162,,N
2022,"2021-212102",Mathematician,163,,N
2022,"2021-212103",Statistician,164,,N
2022,"2021-213101",Animal Behaviourist,165,,N
2022,"2021-213102",General Biologist,166,,N
2022,"2021-213103",Anatomist or Physiologist,167,,N
2022,"2021-213104",Biochemist,168,,N
2022,"2021-213105",Biotechnologist,169,,N
2022,"2021-213106",Botanist,170,,N
2022,"2021-213107",Marine Biologist,171,,N
2022,"2021-213108",Microbiologist,172,,N
2022,"2021-213109",Zoologist,173,,N
2022,"2021-213110",Medical Scientist,174,,N
2022,"2021-213111",Pharmaceutical Physician,175,,N
2022,"2021-213201",Agriculture Consultant,176,,N
2022,"2021-213202",Agricultural Scientist,177,,N
2022,"2021-213203",Forest Scientist,178,,N
2022,"2021-213204",Wine Maker,179,,N
2022,"2021-213205",Food and Beverage Scientist,180,,N
2022,"2021-213301",Conservation Scientist,181,,N
2022,"2021-213302",Environmental Scientist,182,,N
2022,"2021-213304",Earth and Soil Scientist,183,,N
2022,"2021-213305",Air Quality Analyst,184,,N
2022,"2021-213306",Water Quality Analyst,185,,N
2022,"2021-213307",Park Ranger,186,,N
2022,"2021-213308",Brownfield Redevelopment Specialist,187,,N
2022,"2021-213309",Toxicologist,188,,N
2022,"2021-213310",Biodiversity Planner ,189,,N
2022,"2021-214101",Industrial Engineer,190,,N
