"AD_Org_ID[Name]","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZQualification_ID[ZZSaqaQualificationCode]","ZZNqfLevel","ZZCredits","ZZSkillsProgrammeType","ZZSkillsProgrammeGrantType","ZZAETLevel","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZMinimumElectiveCredits","IsActive","ZZIsOHS","ZZQualityAssuranceBody","ZZMigrationCode/K","ZZMigrateValues",_LOG_
*,MQA/SP/2023/12,QCTO Skills programme test,,"3",30,Standalone,,,2023-12-01 00:00:00.000,2026-12-14 00:00:00.000,2026-12-01 00:00:00.000,10,Y,N,"629",1,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000013] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000013] / "
*,MQA/SP/2023/20,QCTO skills2,,"3",50,Standalone,,,2023-12-01 00:00:00.000,2025-12-19 00:00:00.000,2025-12-31 00:00:00.000,10,Y,N,"629",2,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000014] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000014] / "
*,MQA/SP/2024/16,QCTO Skills programme,,"3",50,Standalone,,,2024-01-16 00:00:00.000,2027-01-16 00:00:00.000,2026-01-16 00:00:00.000,10,Y,N,"629",3,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000015] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000015] / "
*,SP-xxx_MQA Test,Mine Safe Declarer: Underground Hardrock operations,"13716","2",8,Leads to a Qualification,,,2023-11-14 00:00:00.000,2028-11-14 00:00:00.000,2029-11-14 00:00:00.000,0,Y,N,"629",4,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000016] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000016] / "
*,SP-230371,Mines Rescue Services Worker,,"4",24,Standalone,,,2023-03-25 00:00:00.000,2028-03-25 00:00:00.000,2029-03-25 00:00:00.000,0,Y,N,"629",5,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000017] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000017] / "
*,MQA/SP/2025/04,Test QCTOskills,,"3",120,Mine Community,,,2025-01-01 00:00:00.000,2029-12-31 00:00:00.000,2030-03-31 00:00:00.000,10,Y,N,"629",6,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000018] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000018] / "
*,SP-230341,Mining Firefighter-Underground Hardrock Operations,,"2",24,Standalone,,,2023-03-25 00:00:00.000,2028-03-25 00:00:00.000,2029-03-25 00:00:00.000,8,Y,N,"629",7,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000019] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000019] / "
*,SP-230342,Mining Firefighter-Underground Coal Operations,,"2",24,Standalone,,,2023-03-25 00:00:00.000,2028-03-25 00:00:00.000,2028-03-25 00:00:00.000,8,Y,N,"629",8,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000020] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000020] / "
*,SP-221120,Underground Coal Blasting Assistant,"13716","2",20,Leads to a Qualification,,,2022-11-25 00:00:00.000,2027-11-25 00:00:00.000,2028-11-25 00:00:00.000,20,Y,N,"629",9,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000021] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000021] / "
*,SP-230343,Mining Firefighter-Surface Mining Operations,,"2",24,Standalone,,,2023-03-25 00:00:00.000,2028-03-25 00:00:00.000,2029-03-25 00:00:00.000,8,Y,N,"629",10,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000022] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000022] / "
*,SP-221122,Underground Hardrock Safe Declarer,"13716","2",12,Leads to a Qualification,,,2022-11-25 00:00:00.000,2027-11-25 00:00:00.000,2028-11-25 00:00:00.000,8,Y,N,"629",11,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000023] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000023] / "
*,SP-221125,Underground Hardrock Support Installer,"13716","2",20,Leads to a Qualification,,,2022-11-25 00:00:00.000,2027-11-25 00:00:00.000,2028-11-25 00:00:00.000,20,Y,N,"629",12,,"<ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000024] / <ZZQctoSkillsProgramme>: Inserted GenericPO[Table=1000261ID=1000024] / "
