"AD_Org_ID[Name]","ZZSAQAQualificationCode","ZZSAQAQualificationTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZQualityAssuranceBody","ZZQualificationType","ZZReplacementQualification_ID[ZZSAQAQualificationCode]","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMinimumElectiveCredits","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,"48696 ",National Certificate  Measurement  Control and Instrumentation ,"3",175,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,20,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1112
*,"35927",Further Education and Training Certificate in  Payroll Administration Services,"4",153,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,21,
*,"48695",National Certificate Measurement Control and Instrumentation,"2",137,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,22,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1112
*,"21811",National Certificate: Introduction to Mining and Minerals V2,"1",120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,2009-08-23 00:00:00.000,1900-01-01 00:00:00.000,"629",Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,23,
*,"35926",National Certificate in Payroll Administration Services,"5",240,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,"629",Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,24,
*,"48914",National Certificate in  Associate General Accountant,"6",547,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,,Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,25,
*,"22860",Further Education and Training Certificate in Autotronics,"4",135,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,26,
*,"22858",National Certificate Autotronics,"2",128,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,N,27,
*,"48912",National Certificate in  Chartered Accountant Financial Management,"7",698,2006-07-01 00:00:00.000,2009-07-01 00:00:00.000,2010-07-01 00:00:00.000,1900-01-01 00:00:00.000,,Non Unit Standard Based,,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,Y,28,
*,"24493",National Certificate in  Management,"5",120,2006-05-02 00:00:00.000,2009-05-02 00:00:00.000,2010-05-02 00:00:00.000,2024-01-01 00:00:00.000,"611",Non Unit Standard Based,,1900-01-01 00:30:00.000,1900-01-01 00:30:00.000,1900-01-01 00:30:00.000,1900-01-01 00:30:00.000,N,N,0,Y,29,
