"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","ZZIsOHS","ZZMigrateValues"
*,117,Y,Fall B MnC ConvM,"Skills Programme: Fall of ground regulations: Competent Person B: To install, maintain and remove any support unit for the purposes of regulation 1.7 (Underground Coal Conventional Mining)",59,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,31,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1256;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,118,Y,Fall B MnC LM,"Skills programme: Fall of ground regulations: Competent Person B: To install, maintain and remove any support unit for the purposes of regulation 1.7 (Underground Coal Longwall Mining)",15,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1256;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,119,Y,MQA/SP/0009/05,"Skills Programme: Competent Person B: To install, maintain and remove support unit (Underground Hard Rock Narrow Tabular) V2",24,2007-01-01 00:00:00.000,2024-07-30 23:59:59.000,8,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,120,Y,MQA/SP/0010/05,"Skills Programme: Competent Person B: To Install, Maintain and Removal of Support in (Underground Hard Rock Operations) (Massive) V2",18,2007-01-01 00:00:00.000,2024-07-30 23:59:59.000,5,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,121,Y,MQA/SP/0037/05,Skills Programme: Continuous Mining Operations,126,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,63,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1256;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,122,Y,MQA/SP/0042/05,Skills Programme: Blasting Assistant in Surface Mining,0,2006-03-16 00:00:00.000,2009-03-16 00:00:00.000,17,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,123,Y,MQA/SP/0049/06,Skills Programme: Thickening of a Slurry (Version 1),24,2006-11-03 00:00:00.000,2009-11-03 00:00:00.000,4,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,124,Y,MQA/SP/0005A/05,Skills Programme: The Examination and Declaring Safe of a Workplace in Underground: Conventional,24,2005-10-19 00:00:00.000,2008-10-19 00:00:00.000,0,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,125,Y,MQA/SP/0005B/05,Skills Programme: The Examination and Declaring Safe of a Workplace in Underground: Continuous Mining,90,2005-10-19 00:00:00.000,2008-10-19 00:00:00.000,66,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,126,Y,MQA/SP/0005C/05,Skills Programme: The Examination and Declaring Safe of a Workplace in Underground: Wall Mining,85,2005-10-19 00:00:00.000,2008-10-19 00:00:00.000,66,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
