"AD_Org_ID[Name]","ZZQctoLearnership_ID[ZZLearnershipCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K",_LOG_
*,"32Q320008173954","651302000-PM-02",Core,Y,20,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-PM-02",Core,Y,36,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-PM-03",Core,Y,21,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-PM-03",Core,Y,37,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-PM-04",Core,Y,22,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-PM-04",Core,Y,38,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-PM-05",Core,Y,23,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-PM-05",Core,Y,39,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-WM-01",Core,Y,24,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-WM-01",Core,Y,40,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-WM-02",Core,Y,25,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-WM-02",Core,Y,41,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-WM-03",Core,Y,26,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-WM-03",Core,Y,42,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-WM-04",Core,Y,27,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-WM-04",Core,Y,43,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-WM-05",Core,Y,28,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320008173954","651302000-WM-05",Core,Y,44,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-KM-01",Core,Y,45,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-KM-02",Core,Y,46,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-KM-03",Core,Y,47,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-KM-04",Core,Y,48,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-KM-05",Core,Y,49,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-KM-06",Core,Y,50,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-KM-07",Core,Y,51,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-KM-08",Core,Y,52,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-KM-9",Core,Y,53,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-PM-01",Core,Y,54,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-PS-02",Core,Y,55,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-PS-03",Core,Y,56,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-PS-04",Core,Y,57,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-PS-05",Core,Y,58,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-PS-06",Core,Y,59,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-PS-07",Core,Y,60,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
*,"32Q320006223604","671101000-PS-08",Core,Y,61,"<ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / <ZZQctoLearnershipModule>: Inserted GenericPO[Table=1000263ID=0] / "
