"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,34,Y,ZZUnitStandard:ZZUnitStandard_ID:1166;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,35,Y,ZZUnitStandard:ZZUnitStandard_ID:1173;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,36,Y,ZZUnitStandard:ZZUnitStandard_ID:1176;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,37,Y,ZZUnitStandard:ZZUnitStandard_ID:1188;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,38,Y,ZZUnitStandard:ZZUnitStandard_ID:1190;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,39,Y,ZZUnitStandard:ZZUnitStandard_ID:1196;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,40,Y,ZZUnitStandard:ZZUnitStandard_ID:1326;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,41,Y,ZZUnitStandard:ZZUnitStandard_ID:1518;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:2
*,42,Y,ZZUnitStandard:ZZUnitStandard_ID:1728;ZZLearnership:ZZLearnership_ID:4;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,43,Y,ZZUnitStandard:ZZUnitStandard_ID:83;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,44,Y,ZZUnitStandard:ZZUnitStandard_ID:84;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,45,Y,ZZUnitStandard:ZZUnitStandard_ID:85;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,46,Y,ZZUnitStandard:ZZUnitStandard_ID:87;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,47,Y,ZZUnitStandard:ZZUnitStandard_ID:88;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,48,Y,ZZUnitStandard:ZZUnitStandard_ID:89;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,49,Y,ZZUnitStandard:ZZUnitStandard_ID:90;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,50,Y,ZZUnitStandard:ZZUnitStandard_ID:91;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,51,Y,ZZUnitStandard:ZZUnitStandard_ID:349;ZZLearnership:ZZLearnership_ID:5;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
