"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZGrantName","ZZGrantDescription","ZZGrantPercentage","ZZPayable","ZZMinimumAmount","ZZMigrateValues"
*,174,Y,GETC NQF1 5827,ABTG,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:29;C_Year:C_Year_ID:17
*,175,Y,MANDATORY GRANTS,MAN,20.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:1;C_Year:C_Year_ID:18
*,176,Y,LEARNERSHIPS,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:2;C_Year:C_Year_ID:18
*,177,Y,ABET,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:4;C_Year:C_Year_ID:18
*,178,Y,GDP NSF,NSF,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:5;C_Year:C_Year_ID:18
*,179,Y,GDP 1,GDP1,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:6;C_Year:C_Year_ID:18
*,180,Y,PRACTICAL TRAINING,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:7;C_Year:C_Year_ID:18
*,181,Y,MODERATOR ,MOD,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:8;C_Year:C_Year_ID:18
*,182,Y,ASSESSOR ,ASS,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:9;C_Year:C_Year_ID:18
*,183,Y,Artisan Grant,APP,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:10;C_Year:C_Year_ID:18
*,184,Y,PRACTICAL TRAINING 02,"",100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:11;C_Year:C_Year_ID:18
*,185,Y,GDP 2,GDP 2,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:13;C_Year:C_Year_ID:18
*,186,Y,LEARNERSHIPS NSF 2,NSL2,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:15;C_Year:C_Year_ID:18
*,187,Y,Skills Programme SLA Grant,PSLA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:16;C_Year:C_Year_ID:18
*,188,Y,DISABLITY,DLRN,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:17;C_Year:C_Year_ID:18
*,189,Y,OHS PROGRAMME,OHS,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:18;C_Year:C_Year_ID:18
*,190,Y,UIF LEARNERSHIPS,UIF,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:19;C_Year:C_Year_ID:18
*,191,Y,EMPLOYED ARTISAN,ART,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:20;C_Year:C_Year_ID:18
*,192,Y,UNEMPLOYED ARTISAN,UART,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:21;C_Year:C_Year_ID:18
