AD_Org_ID[Name],ZZLearnershipTitle,ZZLearnershipCode,ZZLearnershipType,ZZQualification_ID[ZZSaqaQualificationCode],ZZNqfLevel,ZZCredits,ZZQualityAssuranceBody,Registrationstartdate,Registrationenddate,ZZMinimumElectiveCredits,IsActive,ZZMigrationCode/K,ZZMigrateValues
*,FETC:Generic management NQF5,23Q230073291625,Non MQA learnership,59201,5,163,585,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,100,N,284,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:485
*,Project Management,23Q2300082012044R,Non MQA learnership,,4,136,585,2024-04-01 00:00:00.000,2025-03-31 00:00:00.000,120388,N,285,
*,Further Education and Training Certificate: Generic Management,23Q230074261504,Non MQA learnership,,4,154,585,2024-04-24 00:00:00.000,2025-04-30 00:00:00.000,242818,N,286,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:4340
*,General education and training certificate: Business practice,23Q230071391211,Non MQA learnership,61755,1,121,585,2024-05-29 00:00:00.000,2025-05-30 00:00:00.000,121,N,287,
*,NC: Business Administration,23Q230025391592,Non MQA learnership,23833,3,130,585,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,130,N,288,
*,Project Management,23Q230068281364,Non MQA learnership,,4,136,585,2024-05-02 00:00:00.000,2025-05-01 00:00:00.000,136,N,289,
*,Marketing,23Q230081451394,Non MQA learnership,,4,141,585,2024-05-01 00:00:00.000,2025-05-01 00:00:00.000,141,N,290,
*,NC:Bookkeeping,01Q010027261203,Non MQA learnership,58375,3,120,585,2024-04-01 00:00:00.000,2025-04-30 00:00:00.000,120,N,291,
*,FETC: Bookkeeping,01Q01002828130/4,Non MQA learnership,58376,4,130,585,2024-04-01 00:00:00.000,2025-04-01 00:00:00.000,130,N,292,
*,FETC: Business Administration,23Q230032541404,Non MQA learnership,61595,4,140,585,2024-04-01 00:00:00.000,2026-06-30 00:00:00.000,140,N,293,
*,NC:business administration,23Q230026461303,Non MQA learnership,67465,3,120,585,2024-04-01 00:00:00.000,2026-07-30 00:00:00.000,120,N,294,
*,business administration,23Q00225391592,Non MQA learnership,23833,2,130,585,2024-05-01 00:00:00.000,2025-05-01 00:00:00.000,130,N,295,
*,National Certificate: Project Management,23Q230070231205,Non MQA learnership,58395,4,140,585,2024-04-01 00:00:00.000,2025-04-01 00:00:00.000,143,N,296,
*,TestLearnership,1Test234567890,Qualification Electives,123456,6,120,585,2024-04-08 00:00:00.000,2025-06-18 00:00:00.000,8,N,297,
*,Human Resource Management and Support,21Q210014331404,Non MQA learnership,49691,4,140,585,2024-06-19 00:00:00.000,2025-06-19 00:00:00.000,140,N,298,
*,National Certificate -Animal production,30Q300002421404,Non MQA learnership,48979,4,140,585,2024-06-18 00:00:00.000,2025-06-30 00:00:00.000,140,N,299,
*,Procurement in the Supply Chain,26Q260081151505,Non MQA learnership,74149,5,154,585,2024-06-18 00:00:00.000,2025-07-30 00:00:00.000,154,N,300,
*,National Certificate: Management: Stores and Warehousing,17Q170262221213,Non MQA learnership,83986,4,120,585,2024-06-18 00:00:00.000,2025-06-30 00:00:00.000,120,N,301,
*,test21062024,test21062024,Standard Qualification,123456,6,120,629,2024-06-17 00:00:00.000,2026-06-21 00:00:00.000,0,N,302,
*,National Certificate: Information Technology: End User Computing,12Q120020401303,Non MQA learnership,61591,3,120,585,2024-06-27 00:00:00.000,2025-06-27 00:00:00.000,120,N,303,
*,Payroll Administration,23Q23008324205,Non MQA learnership,67229,4,120,585,2024-07-01 00:00:00.000,2025-06-30 00:00:00.000,120,N,304,
*,FETC: New Venture Creation,23Q230079271494,Non MQA learnership,66249,4,149,585,2024-07-01 00:00:00.000,2025-06-30 00:00:00.000,11,N,305,
*,National Certificate: Craft Production,15Q150038421412,Non MQA learnership,48806,2,141,585,2024-07-01 00:00:00.000,2025-05-30 00:00:00.000,141,N,306,
*,Occupational Certificate Maintenance Planner,32Q32003119265,Non MQA learnership,101874,5,261,585,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,261,N,307,
*,Occupation Certificate: Early Childhood Development Practitioner,32Q320045171314,Non MQA learnership,97542,4,131,585,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,131,N,308,
*,"Occupational Certificate: Safety, Health and quality Practitioner",32Q320063202565,Non MQA learnership,99714,5,256,585,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,256,N,309,
*,Training & Development Practitioner,32Q320041211905,Non MQA learnership,101321,5,190,585,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,190,N,310,
*,Occupational Certificate: Design Thinking Innovation Lead,32Q320172201604,Non MQA learnership,118788,4,160,585,2022-02-03 00:00:00.000,2025-12-31 00:00:00.000,160,N,311,
