"AD_Org_ID[Name]","ZZQctoSkillsProgramme_ID[ZZSkillsProgrammeCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K",_LOG_
*,MQA/SP/2025/04,QMod4,Elective,Y,27,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2025/04,QModule1,Core,Y,28,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,MQA/SP/2025/04,QModule2,Elective,Y,29,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230341,"900187-000-00-KM-01",Core,Y,30,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230341,"900173-000-00-KM-01",Core,Y,31,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230341,"900187-000-00-PM-01",Core,Y,32,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230341,"900187-000-00-PM-02",Elective,Y,33,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230342,"900187-000-00-KM-01",Core,Y,34,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230342,"900173-000-00-KM-01",Core,Y,35,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230342,"900187-000-00-PM-01",Core,Y,36,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
*,SP-230342,"900188-000-00-PM-03",Elective,Y,37,"<ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / <ZZQctoSkillsProgrammeModule>: Inserted GenericPO[Table=1000264ID=0] / "
