"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","IsActive","ZZMigrationCode/K",_LOG_
*,"8080602",Industrial Electronics,,0,2010-06-01 00:00:00.000,2011-06-01 00:00:00.000,2012-06-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3301,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,"11040192",Diesel Trade Theory,,0,2010-06-01 00:00:00.000,2011-06-01 00:00:00.000,2012-06-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3302,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,"11041872",Electrical Trade Theory,,0,2010-06-01 00:00:00.000,2011-06-01 00:00:00.000,2012-06-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3303,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,"11040452",Instrument Trade Theory,,0,2010-06-01 00:00:00.000,2011-06-01 00:00:00.000,2012-06-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3304,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,"11041852",Rigging Theory,,0,2010-06-01 00:00:00.000,2011-06-01 00:00:00.000,2012-06-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3305,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT961,Maintain a cooling system,,1,2003-07-31 00:00:00.000,2006-07-31 00:00:00.000,2010-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3306,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT962,Maintain auto electrical systems,,2,2003-07-31 00:00:00.000,2006-07-31 00:00:00.000,2010-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3307,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT963,Operate Plater Machines - Plater / Welder,,8,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3308,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT964,Fabricate and Erect Steel Construction - Plater / Welder,,8,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,Y,3309,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,CP2,Calculate dimensions to fabricate radial door liners,,0,2009-04-22 14:02:35.887,2012-04-22 14:02:35.887,2009-04-22 14:02:35.887,1900-01-01 00:00:00.000,Y,3310,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
