"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZLearnershipTitle","ZZLearnershipCode","ZZQCTOLearnershipType","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZMinimumElectiveCredits","ZZArtisanLearnership","ZZMigrateValues"
*,15,Y,Occupational Certificate: Fitter and Turner,"32Q320009225484",Qualification,548,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:16;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,16,Y,Occupational Certificate: Welder,"16Q94100",Qualification,373,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:17;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,17,Y,Occupational Certificate: Heavy Equipment Mechanic,"16Q97582",Qualification,540,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:18;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,18,Y,Occupational Certificate: Automotive Electrician,"16Q97388",Qualification,362,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:19;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,19,Y,Occupational Certificate: Rigger,"32Q320005425594",Qualification,559,2018-09-12 00:00:00.000,2023-09-12 00:00:00.000,2024-09-12 00:00:00.000,2027-09-12 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:20;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,20,Y,QCTOtestLearn,"1Q23456789000",Qualification,120,2024-04-08 00:00:00.000,2024-04-08 00:00:00.000,2030-04-07 00:00:00.000,2033-04-06 00:00:00.000,8,N,ref:ZZLkpNqfLevel:ZZNqfLevel:7;ZZQualification:ZZQualification_ID:21;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,21,Y,Occupational Certificate: Transportation Electrician (Automotive Electrician),"16Q117042",Qualification,554,2020-05-28 00:00:00.000,2020-05-28 00:00:00.000,2026-05-28 00:00:00.000,2029-05-27 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:23;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,22,Y,"28062024TEST","28062024TEST",Qualification,120,2024-01-01 00:00:00.000,2024-01-01 00:00:00.000,2029-12-31 00:00:00.000,2032-12-30 00:00:00.000,20,N,ref:ZZLkpNqfLevel:ZZNqfLevel:6;ZZQualification:ZZQualification_ID:4;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,23,Y,Mining Technician ( Mine Ventilation Observer),"16Q160170001373",Qualification,137,2018-07-01 00:00:00.000,2018-07-01 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:24;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,24,Y,Mining Technician (Mine Ventilation Officer),"16Q160191002144",Qualification,214,2018-07-01 00:00:00.000,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2029-06-29 00:00:00.000,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:25;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,25,Y,Occupational Certificate_Geological Technician_Underground Mining Geological Technician,"32Q320050145404",Qualification,540,2018-07-01 00:00:00.000,2018-07-01 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:26;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,26,Y,Occupational Certificate: Geological Technician (Marine Mining Geological Technician),"32Q320048113264",Qualification,326,2018-07-01 00:00:00.000,2018-07-01 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:27;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,27,Y,Occupational Certificate: Geological Technician (Surface Mining Geological Technician),"32Q320049145684",Qualification,568,2018-07-01 00:00:00.000,2018-07-01 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:28;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
*,28,Y,QCTOtestLearn,"16Q202503",Qualification,120,2025-01-01 00:00:00.000,2025-01-01 00:00:00.000,2030-12-31 00:00:00.000,2033-12-30 00:00:00.000,10,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:35;ref:ZZLkpQCTOLearnershipType:ZZQCTOLearnershipType:1
