"AD_Org_ID[Name]","ZZSaqaQualificationCode","ZZSaqaQualificationTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZQctoQualificationType","ZZReplacementQualification_ID[ZZSaqaQualificationCode]","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMinimumElectiveCredits","ZZQualification_ID[ZZSaqaQualificationCode]","ZZArtisanQualification","ZZMigrationCode/K","ZZMigrateValues",_LOG_
*,"117237",Occupational Certificate: Diesel Mechanic,"4",544,2020-07-30 00:00:00.000,2027-07-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,Y,11,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000082] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000082] / "
*,"94039",Occupational Certificate: Goldsmith,"4",575,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,Y,12,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000083] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000083] / "
*,"118092",Occupational Certificate: Diamond and Gemstone Setter,"4",540,2021-03-25 00:00:00.000,2027-03-25 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,Y,13,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000084] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000084] / "
*,"94701",Occupational Certificate: Instrument Mechanician,"5",469,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,Y,14,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000085] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000085] / "
*,"94021",Occupational Certificate: Mechanical Fitter,"4",410,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,Y,15,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000086] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000086] / "
*,"94020",Occupational Certificate: Fitter and Turner,"1",548,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,Y,16,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000087] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000087] / "
*,"94100",Occupational Certificate: Welder,"1",373,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,Y,17,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000088] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000088] / "
*,"97582",Occupational Certificate: Heavy Equipment Mechanic,"4",540,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,Y,18,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000089] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000089] / "
*,"97388",Occupational Certificate: Transportation Electrician (Automotive Electrician),"4",362,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,Y,19,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000090] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000090] / "
*,"102856",Occupational Certificate: Rigger,"4",559,2018-09-12 00:00:00.000,2027-09-12 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,Y,20,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000091] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000091] / "
*,"123456",QCTOtestQual,"1",120,2024-04-08 00:00:00.000,2028-06-18 00:00:00.000,2030-04-07 00:00:00.000,2033-04-06 00:00:00.000,Qualification,,,,,,N,N,8,,N,21,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000092] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000092] / "
*,"2468100",QCTOtestqual,"1",120,2023-10-08 00:00:00.000,2024-06-29 00:00:00.000,2024-06-14 00:00:00.000,2027-06-13 00:00:00.000,Qualification,,,,,,N,N,8,,N,22,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000093] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000093] / "
*,"117042",Occupational Certificate: Transportation Electrician (Automotive Electrician),"4",554,2020-05-28 00:00:00.000,2029-05-28 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,Y,N,0,,Y,23,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000094] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000094] / "
*,"94572",Occupational Certificate: Mining Technician: Mine Ventilation Observer,"3",137,2018-07-01 00:00:00.000,2026-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,24,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000095] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000095] / "
*,"98932",Occupational Certificate: Mining Technician (Mine Ventilation Officer),"4",214,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-29 00:00:00.000,Qualification,,,,,,N,N,0,,N,25,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000096] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000096] / "
*,"99260",Occupational Certificate: Geological Technician (Underground Mining Geological Technician),"1",540,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,26,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000097] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000097] / "
*,"99285",Occupational Certificate: Geological Technician (Marine Mining Geological Technician),"4",326,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,27,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000098] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000098] / "
*,"99257",Occupational Certificate: Geological Technician (Surface Mining Geological Technician),"4",568,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,28,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000099] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000099] / "
*,"102162",Occupational Certificate: Mine Environmental Control Supervisor,"1",661,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,29,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000100] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000100] / "
*,"121127",Elementary Occupational Certificate: Mining Team Leader,"2",120,2023-11-14 00:00:00.000,2028-11-14 00:00:00.000,2029-11-14 00:00:00.000,2031-11-14 00:00:00.000,Qualification,,,,,,N,N,0,,N,30,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000101] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000101] / "
*,"121163",Intermediate Occupational Certificate: Surface Blaster,"3",120,2023-11-14 00:00:00.000,2028-11-14 00:00:00.000,2029-11-14 00:00:00.000,2032-11-14 00:00:00.000,Qualification,,,,,,N,N,0,,N,31,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000102] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000102] / "
*,"119283",Higher Occupational Certificate Mine Overseer,"5",200,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,Qualification,,,,,,N,N,40,,N,32,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000103] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000103] / "
*,"121527",Higher Occupational Certificate: Occupational Health and Safety Practitioner,"1",120,2024-01-30 00:00:00.000,2029-01-30 00:00:00.000,2030-01-30 00:00:00.000,2033-01-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,33,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000104] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000104] / "
*,"121929",National Occupational Certificate: Occupational Health and Safety Officer,"1",120,2024-01-30 00:00:00.000,2029-01-30 00:00:00.000,2030-01-30 00:00:00.000,2033-01-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,34,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000105] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000105] / "
*,"2025030",QCTOtestQual,"1",120,2025-01-01 00:00:00.000,2025-03-25 00:00:00.000,2030-12-31 00:00:00.000,2033-12-30 00:00:00.000,Qualification,,,,,,N,N,10,,N,35,,"<ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000106] / <ZZQctoQualification>: Inserted GenericPO[Table=1000259ID=1000106] / "
