"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues",_LOG_
*,18,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:1;ZZUnitStandard:ZZUnitStandard_id:444,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000017] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000017] / "
*,19,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:746,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000018] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000018] / "
*,20,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:784,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000019] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000019] / "
*,21,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:426,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000020] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000020] / "
*,22,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:974,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000021] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000021] / "
*,23,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:567,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000022] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000022] / "
*,24,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:573,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000023] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000023] / "
*,25,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:633,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000024] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000024] / "
*,26,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:543,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000025] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000025] / "
*,27,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:546,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000026] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000026] / "
*,28,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:628,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000027] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000027] / "
*,29,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:703,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000028] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000028] / "
*,30,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:706,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000029] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000029] / "
*,31,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:2227,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000030] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000030] / "
*,32,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:637,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000031] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000031] / "
*,33,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:28,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000032] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000032] / "
*,34,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:557,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000033] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000033] / "
