"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZCode","ZZTitle","ZZCredits","RegistrationStartDate","RegistrationEndDate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZMigrateValues"
*,18,Y,"23813",National Certificate Rigger Ropesman,120,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1079;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,19,N,"59305",National Certificate Mineral Processing,129,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57
*,20,Y,"61305",Automotive electrician mining,120,2018-01-07 00:00:00.000,2024-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,""
*,21,N,"63471",National Certificate: Mechanical Engineering: Fitting: Mining and Minerals,120,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090
*,22,N,"63477",National Certificate: Mechanical Engineering : Mining and Minerals,130,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090
*,23,N,"63481",FETC: Mechanical Engineering : Fitting: Mining and Minerals,120,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090
*,24,N,"65549",National Certificate: Mining Technical Support,138,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:814
*,25,N,"73311",National Certificate: Laboratory Practice: Coal,120,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:2
*,26,N,"73312",Further Education and Training Certificate: Laboratory Analysis: Mining and Minerals,140,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:102
*,27,N,"77963",Further Education and Training Certificate: Mining/Exploration Geology,160,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2023-06-30 00:00:00.000,1900-01-01 00:00:00.000,ref:ZZLkpNqfLevel:ZZNqfLevel:4
