"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZSaqaQualificationCode","ZZSaqaQualificationTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMinimumElectiveCredits","ZZArtisanQualification","ZZMigrateValues"
*,18,Y,"97582",Occupational Certificate: Heavy Equipment Mechanic,540,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,19,Y,"97388",Occupational Certificate: Transportation Electrician (Automotive Electrician),362,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,20,Y,"102856",Occupational Certificate: Rigger,559,2018-09-12 00:00:00.000,2027-09-12 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,N,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,21,Y,"123456",QCTOtestQual,120,2024-04-08 00:00:00.000,2028-06-18 00:00:00.000,2030-04-07 00:00:00.000,2033-04-06 00:00:00.000,,,,,N,N,8,N,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,22,Y,"2468100",QCTOtestqual,120,2023-10-08 00:00:00.000,2024-06-29 00:00:00.000,2024-06-14 00:00:00.000,2027-06-13 00:00:00.000,,,,,N,N,8,N,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,23,Y,"117042",Occupational Certificate: Transportation Electrician (Automotive Electrician),554,2020-05-28 00:00:00.000,2029-05-28 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,,,,,Y,N,0,Y,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1;ZZQualification:ZZReplacementQualification_ID:19
*,24,Y,"94572",Occupational Certificate: Mining Technician: Mine Ventilation Observer,137,2018-07-01 00:00:00.000,2026-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,,,,,N,N,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,25,Y,"98932",Occupational Certificate: Mining Technician (Mine Ventilation Officer),214,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-29 00:00:00.000,,,,,N,N,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,26,Y,"99260",Occupational Certificate: Geological Technician (Underground Mining Geological Technician),540,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,,,,,N,N,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,27,Y,"99285",Occupational Certificate: Geological Technician (Marine Mining Geological Technician),326,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,,,,,N,N,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,28,Y,"99257",Occupational Certificate: Geological Technician (Surface Mining Geological Technician),568,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,,,,,N,N,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,29,Y,"102162",Occupational Certificate: Mine Environmental Control Supervisor,661,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,,,,,N,N,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,30,Y,"121127",Elementary Occupational Certificate: Mining Team Leader,120,2023-11-14 00:00:00.000,2028-11-14 00:00:00.000,2029-11-14 00:00:00.000,2031-11-14 00:00:00.000,,,,,N,N,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,31,Y,"121163",Intermediate Occupational Certificate: Surface Blaster,120,2023-11-14 00:00:00.000,2028-11-14 00:00:00.000,2029-11-14 00:00:00.000,2032-11-14 00:00:00.000,,,,,N,N,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,32,Y,"119283",Higher Occupational Certificate Mine Overseer,200,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,,,,,N,N,40,N,ref:ZZLkpNqfLevel:ZZNqfLevel:5;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,33,Y,"121527",Higher Occupational Certificate: Occupational Health and Safety Practitioner,120,2024-01-30 00:00:00.000,2029-01-30 00:00:00.000,2030-01-30 00:00:00.000,2033-01-30 00:00:00.000,,,,,N,N,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,34,Y,"121929",National Occupational Certificate: Occupational Health and Safety Officer,120,2024-01-30 00:00:00.000,2029-01-30 00:00:00.000,2030-01-30 00:00:00.000,2033-01-30 00:00:00.000,,,,,N,N,0,N,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
*,35,Y,"2025030",QCTOtestQual,120,2025-01-01 00:00:00.000,2025-03-25 00:00:00.000,2030-12-31 00:00:00.000,2033-12-30 00:00:00.000,,,,,N,N,10,N,ref:ZZLkpNqfLevel:ZZNqfLevel:1;ref:ZZLkpQCTOQualificationType:ZZQCTOQualificationType:1
