AD_Org_ID[Name],ZZSaqaQualificationCode,ZZSaqaQualificationTitle,ZZNqfLevel,ZZCredits,Registrationstartdate,Registrationenddate,ZZLastEnrolmentDate,ZZLastAchievementDate,ZZQctoQualificationType,ZZReplacementQualification_ID[Value],ZZNewRegistrationStartDate,ZZNewRegistrationEndDate,ZZNewLastEnrolmentDate,ZZNewLastAchievementDate,ZZIsReplacement,ZZIsReregistered,ZZMinimumElectiveCredits,ZZQualification_ID[Value],ZZArtisanQualification,ZZMigrationCode,ZZMigrateValues
*,2468100,QCTOtestqual,1,120,2023-10-08 00:00:00.000,2024-06-29 00:00:00.000,2024-06-14 00:00:00.000,2027-06-13 00:00:00.000,Qualification,,,,,,N,N,8,,N,22,ZZLkpOfoOccupation
*,117042,Occupational Certificate: Transportation Electrician (Automotive Electrician),4,554,2020-05-28 00:00:00.000,2029-05-28 00:00:00.000,2027-06-30 00:00:00.000,2029-06-30 00:00:00.000,Qualification,,,,,,Y,N,0,,Y,23,ZZLkpOfoOccupation
*,94572,Occupational Certificate: Mining Technician: Mine Ventilation Observer,3,137,2018-07-01 00:00:00.000,2026-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,24,ZZLkpOfoOccupation
*,98932,Occupational Certificate: Mining Technician (Mine Ventilation Officer),4,214,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-29 00:00:00.000,Qualification,,,,,,N,N,0,,N,25,ZZLkpOfoOccupation
*,99260,Occupational Certificate: Geological Technician (Underground Mining Geological Technician),1,540,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,26,ZZLkpOfoOccupation
*,99285,Occupational Certificate: Geological Technician (Marine Mining Geological Technician),4,326,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,27,ZZLkpOfoOccupation
*,99257,Occupational Certificate: Geological Technician (Surface Mining Geological Technician),4,568,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2026-12-30 00:00:00.000,2029-12-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,28,ZZLkpOfoOccupation
*,102162,Occupational Certificate: Mine Environmental Control Supervisor,1,661,2018-07-01 00:00:00.000,2025-12-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,29,ZZLkpOfoOccupation
*,121127,Elementary Occupational Certificate: Mining Team Leader,2,120,2023-11-14 00:00:00.000,2028-11-14 00:00:00.000,2029-11-14 00:00:00.000,2031-11-14 00:00:00.000,Qualification,,,,,,N,N,0,,N,30,ZZLkpOfoOccupation
*,121163,Intermediate Occupational Certificate: Surface Blaster,3,120,2023-11-14 00:00:00.000,2028-11-14 00:00:00.000,2029-11-14 00:00:00.000,2032-11-14 00:00:00.000,Qualification,,,,,,N,N,0,,N,31,ZZLkpOfoOccupation
*,119283,Higher Occupational Certificate Mine Overseer,5,200,2022-06-21 00:00:00.000,2027-06-21 00:00:00.000,2028-06-21 00:00:00.000,2031-06-21 00:00:00.000,Qualification,,,,,,N,N,40,,N,32,ZZLkpOfoOccupation
*,121527,Higher Occupational Certificate: Occupational Health and Safety Practitioner,1,120,2024-01-30 00:00:00.000,2029-01-30 00:00:00.000,2030-01-30 00:00:00.000,2033-01-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,33,ZZLkpOfoOccupation
*,121929,National Occupational Certificate: Occupational Health and Safety Officer,1,120,2024-01-30 00:00:00.000,2029-01-30 00:00:00.000,2030-01-30 00:00:00.000,2033-01-30 00:00:00.000,Qualification,,,,,,N,N,0,,N,34,ZZLkpOfoOccupation
*,2025030,QCTOtestQual,1,120,2025-01-01 00:00:00.000,2025-03-25 00:00:00.000,2030-12-31 00:00:00.000,2033-12-30 00:00:00.000,Qualification,,,,,,N,N,10,,N,35,ZZLkpOfoOccupation
