"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues"
*,44,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:765
*,45,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:456
*,46,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:462
*,47,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:464
*,48,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:980
*,49,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:930
*,50,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:668
*,51,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:716
*,52,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:981
*,53,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:984
*,54,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:2141
*,55,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:1996
*,56,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:761
*,57,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:1418
*,58,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:120
*,59,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:121
*,60,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:130
*,61,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:131
*,62,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:432
*,63,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:983
*,64,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1080
*,65,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1139
*,66,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:433
*,67,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:761
*,68,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1668
*,69,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1076
*,70,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1078
*,71,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1077
*,72,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1604
*,73,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:930
*,74,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1010
*,75,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1138
*,76,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:1009
*,77,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:5;ZZUnitStandard:ZZUnitStandard_id:981
