"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZLearnershipTitle","ZZLearnershipCode","ZZCredits","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","ZZMigrateValues"
*,155,Y,Natiional Certificate: Instrumentation Mechanician ,"16Q160008001764 (V3)",237,2011-09-28 00:00:00.000,2011-09-28 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:5;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1174
*,156,Y,National Certificate: Mineral Processing: Platinum,"16Q160109401303",130,2011-11-22 00:00:00.000,2011-11-22 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:121;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258
*,157,Y,National Certificate: Mineral Processing : Gold,"16Q160112541303",130,2011-11-22 00:00:00.000,2011-11-22 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:121;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258
*,158,Y,National Certificate: Mineral Processing: Mineral Sands,"16Q160113311303",130,2011-11-23 00:00:00.000,2011-11-23 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:121;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258
*,159,Y,Further Education and Training Certificate: Diamond Design and Evaluation: Rough Evaluation,"16Q160128371644",150,2011-11-25 00:00:00.000,2011-11-25 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:99;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1117
*,160,Y,Further Education and Training Certificate: Diamond Design and Evaluation: Basic Marking and Design,"16Q160129391644",0,2011-11-25 00:00:00.000,2011-11-25 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:99;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1117
*,161,Y,Further Education and Training Certificate: Diamond Design and Evaluation: Grading Polished Daimonds,"16Q160130381644",0,2011-11-30 00:00:00.000,2011-11-30 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:99;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1117
*,162,Y,Further Education and Training Certificate: Diamond Design and Evaluation: Inspecting,"16Q160131381644",0,2011-11-30 00:00:00.000,2011-11-30 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:99;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1117
*,163,Y,Further Education and Training Certificate: Diamond Processing: Fancy Stone Making,"16Q160136391614",0,2011-12-01 00:00:00.000,2011-12-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:107;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1117
*,164,Y,Further Education and Training Certificate: Mineral Processing,"16Q160140361374",137,2011-12-01 00:00:00.000,2011-12-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:130
*,165,Y,National Certificate: Laboratory Practice:General,"16Q160144541202",120,2011-02-12 00:00:00.000,2011-02-12 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:161
*,166,Y,National Certificate: Laboratory Practice: Precious Metal,"16Q160145541202",120,2011-02-12 00:00:00.000,2011-02-12 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:123;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:102
*,167,Y,National Certificate: Chemical Operations: Mineral Extraction and Refining,"16Q160124391203",120,2011-05-12 00:00:00.000,2011-05-12 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:131
*,168,Y,National Certificate: Chemical Operations: Sulphuric Acid Manufacturing,"16Q160123321203",0,2011-12-05 00:00:00.000,2011-12-05 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:131
*,169,Y,Further Education and Training Certificate: Mining Operations: Underground Hard  Rock Mining ,"16Q160156311634",160,2011-12-05 00:00:00.000,2011-12-05 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:136
*,170,Y,National Certificate: Chemical Operations,"16Q160122311352",135,2011-05-12 00:00:00.000,2011-05-12 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:132
*,171,Y,Further Education and Training Certificate: Mining Operations:Surface Excavations,"16Q160151261604",160,2011-12-05 00:00:00.000,2011-12-05 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:136
*,172,Y,National Certificate: Generic Management: Cement Manufacturing,"16Q160125221625",0,2011-12-05 00:00:00.000,2011-12-05 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:5;ZZQualification:ZZQualification_ID:128
*,173,Y,National Certificate: Strata Control Operations: Underground Coal Mining,"16Q160153391363",0,2011-05-12 00:00:00.000,2011-05-12 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:83;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:57
*,174,Y,National Certificate: Strata Control Operations: Massive Mining,"16Q160155391363",0,2011-12-05 00:00:00.000,2011-12-05 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:83;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:57
*,175,Y,National Certificate: Strata Control Operations: Surface Mining,"16Q160154391363",0,2011-12-05 00:00:00.000,2011-12-05 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:83;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:57
*,176,Y,National Certificate: Mineral Processing: Mineral Sands,"16Q160152291292",129,2011-05-12 00:00:00.000,2011-05-12 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:80;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258
*,177,Y,Further Education and Training Certificate: Strata Control Operations,"16Q160148401654",0,2011-12-06 00:00:00.000,2011-12-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:98;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:57
*,178,Y,National Certificate: Mineral Processing: Platinum,"16Q160096591292",129,2012-06-02 00:00:00.000,2012-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:80;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258
*,179,Y,National Certificate: Mining Technical Support: Geology,"16Q160142361252",125,2012-12-03 00:00:00.000,2012-12-03 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ZZQualification:ZZQualification_ID:87;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:814
