"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZSAQAQualificationCode","ZZSAQAQualificationTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZQualificationType","ZZNewRegistrationStartDate","ZZNewRegistrationEndDate","ZZNewLastEnrolmentDate","ZZNewLastAchievementDate","ZZIsReplacement","ZZIsReregistered","ZZMinimumElectiveCredits","ZZMigrateValues"
*,11,Y,"21845",Further Education and Training Certificate in  Diamond Processing: Polisher - Crossworker,351,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1
*,12,Y,"21812",National certificate in Mining Operations: Underground Coal ,120,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49
*,13,Y,"21815",National Certificate in Engineering Maintenance for Underground Hard Rock (Metalliferous) ,120,2018-07-01 00:00:00.000,2027-06-30 00:00:00.000,2027-06-30 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:49
*,14,Y,"21843",National Certificate in Diamond Processing: Polisher - Brillianteer,323,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1
*,15,Y,"21842",National Certificate: Surface Mining Rockbreaking ,147,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1
*,16,Y,"49045",National Certificate in Lump Ore Beneficiation (L2),163,2004-12-02 00:00:00.000,2007-12-02 00:00:00.000,2008-12-02 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1
*,17,Y,"48804","National Certificate Occupational Safety, Hygiene and Environment ",135,2007-08-07 00:00:00.000,2010-08-07 00:00:00.000,2011-08-07 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualificationType:ZZQualificationType:1
*,18,Y,"50063",Further Education and Training Certificate in  Occupational Safety (Version1),145,2008-10-20 00:00:00.000,2011-10-20 00:00:00.000,2012-10-20 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ref:ZZLkpQualificationType:ZZQualificationType:1
*,19,Y,"58248",National Certificate in Laboratory Practice,120,2007-06-27 00:00:00.000,2010-06-27 00:00:00.000,2011-06-27 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:2;ref:ZZLkpQualityAssuranceBody:ZZQualityAssuranceBody:57;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:102
*,20,Y,"48696 ",National Certificate  Measurement  Control and Instrumentation ,175,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,Unit Standard Based,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,N,N,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ref:ZZLkpQualificationType:ZZQualificationType:1;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1112
