"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZModuleType","ZZMigrateValues"
*,32,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:9;ref:ZZLkpModuleType:ZZModuleType:1
*,33,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:10;ref:ZZLkpModuleType:ZZModuleType:1
*,34,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:11;ref:ZZLkpModuleType:ZZModuleType:1
*,35,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:12;ref:ZZLkpModuleType:ZZModuleType:1
*,36,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:13;ref:ZZLkpModuleType:ZZModuleType:1
*,37,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:14;ref:ZZLkpModuleType:ZZModuleType:1
*,38,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:15;ref:ZZLkpModuleType:ZZModuleType:1
*,39,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:16;ref:ZZLkpModuleType:ZZModuleType:1
*,40,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:17;ref:ZZLkpModuleType:ZZModuleType:1
*,41,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:18;ref:ZZLkpModuleType:ZZModuleType:1
*,42,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:19;ref:ZZLkpModuleType:ZZModuleType:1
*,43,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:20;ref:ZZLkpModuleType:ZZModuleType:1
*,44,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:7;ZZQCTOModule:ZZQCTOModule_ID:21;ref:ZZLkpModuleType:ZZModuleType:1
*,45,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:43;ref:ZZLkpModuleType:ZZModuleType:1
*,46,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:44;ref:ZZLkpModuleType:ZZModuleType:1
*,47,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:45;ref:ZZLkpModuleType:ZZModuleType:1
*,48,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:46;ref:ZZLkpModuleType:ZZModuleType:1
*,49,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:47;ref:ZZLkpModuleType:ZZModuleType:1
*,50,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:48;ref:ZZLkpModuleType:ZZModuleType:1
*,51,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:49;ref:ZZLkpModuleType:ZZModuleType:1
*,52,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:50;ref:ZZLkpModuleType:ZZModuleType:1
*,53,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:51;ref:ZZLkpModuleType:ZZModuleType:1
*,54,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:52;ref:ZZLkpModuleType:ZZModuleType:1
*,55,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:53;ref:ZZLkpModuleType:ZZModuleType:1
*,56,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:54;ref:ZZLkpModuleType:ZZModuleType:1
*,57,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:55;ref:ZZLkpModuleType:ZZModuleType:1
*,58,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:56;ref:ZZLkpModuleType:ZZModuleType:1
*,59,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:57;ref:ZZLkpModuleType:ZZModuleType:1
*,60,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:58;ref:ZZLkpModuleType:ZZModuleType:1
*,61,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:59;ref:ZZLkpModuleType:ZZModuleType:1
*,62,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:60;ref:ZZLkpModuleType:ZZModuleType:1
*,63,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:61;ref:ZZLkpModuleType:ZZModuleType:1
*,64,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:62;ref:ZZLkpModuleType:ZZModuleType:1
*,65,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:63;ref:ZZLkpModuleType:ZZModuleType:1
*,66,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:8;ZZQCTOModule:ZZQCTOModule_ID:64;ref:ZZLkpModuleType:ZZModuleType:1
*,67,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:65;ref:ZZLkpModuleType:ZZModuleType:1
*,68,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:66;ref:ZZLkpModuleType:ZZModuleType:1
*,69,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:67;ref:ZZLkpModuleType:ZZModuleType:1
*,70,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:68;ref:ZZLkpModuleType:ZZModuleType:1
*,71,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:69;ref:ZZLkpModuleType:ZZModuleType:1
*,72,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:70;ref:ZZLkpModuleType:ZZModuleType:1
*,73,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:71;ref:ZZLkpModuleType:ZZModuleType:1
*,74,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:72;ref:ZZLkpModuleType:ZZModuleType:1
*,75,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:73;ref:ZZLkpModuleType:ZZModuleType:1
*,76,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:74;ref:ZZLkpModuleType:ZZModuleType:1
*,77,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:75;ref:ZZLkpModuleType:ZZModuleType:1
*,78,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:76;ref:ZZLkpModuleType:ZZModuleType:1
*,79,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:77;ref:ZZLkpModuleType:ZZModuleType:1
*,80,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:78;ref:ZZLkpModuleType:ZZModuleType:1
*,81,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:79;ref:ZZLkpModuleType:ZZModuleType:1
*,82,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:80;ref:ZZLkpModuleType:ZZModuleType:1
*,83,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:81;ref:ZZLkpModuleType:ZZModuleType:1
*,84,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:82;ref:ZZLkpModuleType:ZZModuleType:1
*,85,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:83;ref:ZZLkpModuleType:ZZModuleType:1
*,86,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:84;ref:ZZLkpModuleType:ZZModuleType:1
*,87,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:85;ref:ZZLkpModuleType:ZZModuleType:1
*,88,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:86;ref:ZZLkpModuleType:ZZModuleType:1
*,89,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:87;ref:ZZLkpModuleType:ZZModuleType:1
*,90,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:88;ref:ZZLkpModuleType:ZZModuleType:1
*,91,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:89;ref:ZZLkpModuleType:ZZModuleType:1
*,92,Y,Core,ZZQCTOLearnership:ZZQCTOLearnership_ID:9;ZZQCTOModule:ZZQCTOModule_ID:90;ref:ZZLkpModuleType:ZZModuleType:1
