"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","ZZNqfLevel","ZZLearningType","ZZModuleType","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,"661301-PM-04",Produce jewellery using re-production techniques,"629",7,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,146,
*,"661301-PM-05",Interpret jewellery designs,"629",7,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,147,
*,"661301-PM-06",Manufacture a variety of jewellery item,"629",48,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,148,
*,"661301-PM-07",Identify and separate natural gemstones from their simulants,"629",4,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Application,Core,Y,149,
*,"661301-PM-08",Manufacture complex jewellery items,"629",48,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,150,
*,"661301-PM-09",Conduct basic setting of gemstones,"629",4,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,151,
*,"661301-PM-10",Repair complex jewellery pieces,"629",10,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Application,Core,Y,152,
*,"661301-WM-01",Metal work processes,"629",50,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"2",Work experience,Core,Y,153,
*,"661301-WM-02",Jewellery assembly and finishing processes,"629",14,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"2",Work experience,Core,Y,154,
*,"661301-WM-03",Jewellery Workshop processes and tools,"629",12,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"2",Work experience,Core,Y,155,
*,"661301-WM-04",Jewellery manufacturing processes,"629",100,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"2",Work experience,Core,Y,156,
*,"661301-WM-05",Jewellery manufacturing planning processes,"629",8,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Work experience,Core,Y,157,
*,"661301-WM-06",Materials management processes,"629",6,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"3",Work experience,Core,Y,158,
*,"661301-WM-07",Stone setting processes,"629",12,2018-07-01 00:00:00.000,2023-06-30 00:00:00.000,2024-06-30 00:00:00.000,2027-06-30 00:00:00.000,"4",Work experience,Core,Y,159,
