"AD_Org_ID[Name]","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZQualityAssuranceBody","ZZSkillsProgrammeType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZAETLevel","ZZMinimumElectiveCredits","ZZSkillsProgrammeGrantType","ZZIsOHS","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,MQA/SP/0038/05,Skills Programme: Tube Set Gemstones into Jewellery,,17,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,25,
*,MQA/SP/0039/05,Skills Programme: Channel Set Gemstones into Jewellery,,20,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,26,
*,MQA/SP/0040/05,Skills Programme: Pave Set Gemstones into Jewellery,,34,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,17,,N,Y,27,
*,MQA/SP/0041/05,Skills Programme: Gas Testing Operations in Underground Coal Mines,,42,2005-10-07 00:00:00.000,2008-10-07 00:00:00.000,,Standalone,,,0,,N,Y,28,
*,MQA/SP/0005/05,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Coal Longwall Mining) V2,,22,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,,Standalone,,,0,,N,Y,29,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0006/05,Skills Programme: To examine and declare a working place safe for the purpose of regulation 1.1 (Underground Coal Conventional Mining) V2,,28,2005-10-19 00:00:00.000,2008-10-19 00:00:00.000,,Standalone,,,4,,N,Y,30,
*,MQA/SP/0007/05,Skills Programme: Competent Person A: To examine and declare a working place safe (Underground Coal Continuous Mining) V2,,24,2018-07-01 00:00:00.000,2020-09-25 00:00:00.000,,Standalone,,,0,,N,Y,31,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0011/05,"Skills Programme: Competent Person B: To install, maintain and remove any support unit in Underground Coal Mining Operations - Timber Support V3",,23,2018-07-01 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,3,,N,Y,32,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0017/05,"Skills Programme: Competent Person B: To install, maintain and remove any support in Underground Coal Mining Operations - Roofbolter Machine Support  V3",,18,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,Standalone,,,3,,N,Y,33,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0008(C)/05,"Skills Programme: Competent Person B: To install, maintain and remove any support in Underground Coal Mining Operations - Compressed Air / Hydraulic Support V3",,17,2018-07-01 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,2,,N,Y,34,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0044/06,Skills Programme: Conduct Occupational Health and Safety Representative activities in the Mining and Minerals Sector,,13,2006-06-12 00:00:00.000,2009-06-12 00:00:00.000,,Standalone,,,2,,N,Y,35,
*,MQA/SP/0045/06,Skills Programme: Operate a Small-Scale Surface Mine,,67,2006-07-31 00:00:00.000,2009-12-31 00:00:00.000,,Standalone,,,0,,N,Y,36,
*,MQA/SP/0046/06,"Skills Programme: Competent Person B: The Installation, Maintenance and Removal of Support Units in Surface Mines",,20,2006-09-05 00:00:00.000,2009-09-05 00:00:00.000,,Standalone,,,0,,N,Y,37,
*,MQA/SP/0047/06,Skills Programme: Intermediate Generic Management,,49,2006-10-06 00:00:00.000,2009-10-06 00:00:00.000,,Standalone,,,9,,N,Y,38,
*,MQA/SP/0048/06,Skills Programme: Advanced Generic Management,,63,2006-10-06 00:00:00.000,2009-10-06 00:00:00.000,,Standalone,,,9,,N,Y,39,
*,MQA/SP/0050/06,Skills Programme: Adsorption of Gold onto Activated Carbon (CIP/CIL/CIS Processes (Version 1),,16,2006-11-03 00:00:00.000,2009-11-03 00:00:00.000,,Standalone,,,2,,N,Y,40,
*,MQA/SP/0051/06,Skills Programme: Handling of Chemicals (Version 1),,7,2006-11-06 00:00:00.000,2009-11-06 00:00:00.000,,Standalone,,,4,,N,Y,41,
*,MQA/SP/0052/06,Skills Programme: Milling of Material,,19,2006-11-06 00:00:00.000,2015-06-30 00:00:00.000,,Standalone,,,8,,N,Y,42,
*,MQA/SP/0053/06,Skills Programme: Slimes Reclamation (Version 1),,15,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,,Standalone,,,2,,N,Y,43,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1258
*,MQA/SP/0054/06,Skills Programme: Solvent Extraction (Version 1),,21,2006-11-06 00:00:00.000,2009-07-08 00:00:00.000,,Standalone,,,2,,N,Y,44,
*,MQA/SP/0055/06,Skills Programme: Packing Plant Unitising Operations,,35,2006-11-17 00:00:00.000,2009-11-17 00:00:00.000,,Standalone,,,9,,N,Y,45,
*,MQA/SP/0056/06,Skills Programme: Tanker-Based Bulk Materials Loading,,64,2006-11-17 00:00:00.000,2009-11-17 00:00:00.000,,Standalone,,,23,,N,Y,46,
*,MQA/SP/0042/07,Skills Programme: Blasting Assistant in Surface Mining V3,,19,2007-06-11 00:00:00.000,2025-06-30 23:59:59.000,,Standalone,,,2,,N,Y,47,
*,MQA/SP/0043/05,Skills Programme: Blasting Assistant Operations in Underground Coal Mines V3,,31,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,48,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0057/07,Skills Programme: Generic Engineering,,62,2007-06-13 00:00:00.000,2010-09-13 00:00:00.000,,Standalone,,,0,,N,Y,49,
*,MQA/SP/0058/07,Skills Programme: Monitor and Operate Plant and Equipment,,41,2007-07-30 00:00:00.000,2010-07-30 00:00:00.000,,Standalone,,,15,,N,Y,50,
*,MQA/SP/0059/07,Skills Programme: Basic Generic Supervision,,28,2007-07-30 00:00:00.000,2010-02-28 00:00:00.000,,Standalone,,,0,,N,Y,51,
*,MQA/SP/0060/07,"Skills Programme: Occupational Health and Safety, Environment and Quality (Basic)",,20,2007-07-30 00:00:00.000,2015-06-30 00:00:00.000,,Standalone,,,6,,N,Y,52,
*,MQA/SP/0064/07,Skills Programme: Blasting Assistant within Underground Hard Rock V4,,23,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,3,,N,Y,53,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0063/07,Skills Programme: Competent person A: The examination and Declaring safe of a Workplace in Underground Hard Rock Operations (V4),,28,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,3,,N,Y,54,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0061/07,Skills Programme: Competent person B: The Installation and Maintenance of any Support Unit and the removal of a Temporary Support Unit in Underground Hard Rock Operations (V4),,16,2015-07-01 00:00:00.000,2024-07-30 23:59:59.000,,Standalone,,,0,,N,Y,55,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
