"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,31,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:2227;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,32,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:637;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,33,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:28;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,34,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:557;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,35,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:569;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,36,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:967;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,37,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:968;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,38,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:2;ZZUnitStandard:ZZUnitStandard_id:576;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,39,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:983;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,40,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:665;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,41,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:666;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,42,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:667;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,43,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:764;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,44,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:765;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,45,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:456;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,46,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:3;ZZUnitStandard:ZZUnitStandard_id:462;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
