ID,SkillsProgrammeCode,SkillsProgrammeTitle,NQFLevelID,Credits,RegistrationStartDate,RegistrationEndDate,QualityAssuranceBodyID,SkillsProgrammeTypeID,QualificationID,AETLevelID,OFOOccupationID,MinimumElectiveCredits,SkillsProgrammeGrantTypeID,MigrationRecordID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime,IsOHS
18,MQA/SP/0028/05,Skills Programme: Dense Medium Separation (Version 1),0,14,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,0,1,0,0,0,2,0,19,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
19,MQA/SP/0029/05,Skills Programme: Ore Reception,0,8,2005-06-22 00:00:00.000,2008-06-22 00:00:00.000,0,1,0,0,0,1,0,20,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
20,MQA/SP/0030/05,Skills Programme: Crushing (Version 1),0,12,2005-06-22 00:00:00.000,2009-07-22 00:00:00.000,0,1,0,0,0,4,0,21,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
21,MQA/SP/0025/05,Skills Programme: Determine the Physical Properties of a Coal Sample in a Laboratory,0,29,2005-09-02 00:00:00.000,2026-06-30 23:59:59.000,0,1,0,0,0,0,0,22,2022-12-12 13:31:20.827,1,2025-05-06 14:17:22.010,4483,0,2025-05-06 12:17:22.0068631,9999-12-31 23:59:59.9999999,0
22,MQA/SP/0031/05,SkillsProgramme: Primary Sample Preparation in an analytical laboratory (Analytical Services),0,23,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,0,1,0,0,0,0,0,23,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
23,MQA/SP/0035/05,Skills Programme: Secondary Sample Preparation in and Analytical Laboratory (Analytical Services),0,18,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,0,1,0,0,0,0,0,24,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
24,MQA/SP/0032/05,"Skills Programme: The Separation of Precious Metals by Means of the Fire Assay Technique ",0,34,2005-09-02 00:00:00.000,2008-09-02 00:00:00.000,0,1,0,0,0,2,0,25,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
25,MQA/SP/0038/05,Skills Programme: Tube Set Gemstones into Jewellery,0,17,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,1,0,0,0,0,0,26,2022-12-12 13:31:20.827,1,2025-05-06 14:17:22.010,4483,0,2025-05-06 12:17:22.0068631,9999-12-31 23:59:59.9999999,0
26,MQA/SP/0039/05,Skills Programme: Channel Set Gemstones into Jewellery,0,20,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,1,0,0,0,0,0,27,2022-12-12 13:31:20.827,1,2025-05-06 14:17:22.010,4483,0,2025-05-06 12:17:22.0068631,9999-12-31 23:59:59.9999999,0
27,MQA/SP/0040/05,Skills Programme: Pave Set Gemstones into Jewellery,0,34,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,1,0,0,0,17,0,28,2022-12-12 13:31:20.827,1,2025-05-06 14:17:22.010,4483,0,2025-05-06 12:17:22.0068631,9999-12-31 23:59:59.9999999,0
