AD_Org_ID[Name],Value,Name,ZZNqfLevel,ZZCredits,Registrationstartdate,Registrationenddate,ZZQualityAssuranceBody,ZZSkillsProgrammeType,ZZQualification_ID[Value],ZZAetLevel,ZZLkpOfoOccupation_ID[Value],ZZMinimumElectiveCredits,IsActive
*,Fall B MnC ContM,"Skills Programme: Fall of ground regulations: Competent Person B: To install, maintain and remove any support unit for the purposes of regulation 1.7 (Underground Coal Continuous Mining)",,17,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711101,2,Y
*,Fall B MnC ConvM,"Skills Programme: Fall of ground regulations: Competent Person B: To install, maintain and remove any support unit for the purposes of regulation 1.7 (Underground Coal Conventional Mining)",,59,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711101,31,Y
*,Fall B MnC LM,"Skills programme: Fall of ground regulations: Competent Person B: To install, maintain and remove any support unit for the purposes of regulation 1.7 (Underground Coal Longwall Mining)",,15,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711101,0,Y
*,MQA/SP/0009/05,"Skills Programme: Competent Person B: To install, maintain and remove support unit (Underground Hard Rock Narrow Tabular) V2",,24,2007-01-01 00:00:00.000,2024-07-30 23:59:59.000,,1,,,,8,Y
*,MQA/SP/0010/05,"Skills Programme: Competent Person B: To Install, Maintain and Removal of Support in (Underground Hard Rock Operations) (Massive) V2",,18,2007-01-01 00:00:00.000,2024-07-30 23:59:59.000,,1,,,,5,Y
*,MQA/SP/0037/05,Skills Programme: Continuous Mining Operations,,126,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711101,63,Y
*,MQA/SP/0042/05,Skills Programme: Blasting Assistant in Surface Mining,,0,2006-03-16 00:00:00.000,2009-03-16 00:00:00.000,,1,,,,17,Y
*,MQA/SP/0049/06,Skills Programme: Thickening of a Slurry (Version 1),,24,2006-11-03 00:00:00.000,2009-11-03 00:00:00.000,,1,,,,4,Y
*,MQA/SP/0005A/05,Skills Programme: The Examination and Declaring Safe of a Workplace in Underground: Conventional,,24,2005-10-19 00:00:00.000,2008-10-19 00:00:00.000,,1,,,,0,Y
*,MQA/SP/0005B/05,Skills Programme: The Examination and Declaring Safe of a Workplace in Underground: Continuous Mining,,90,2005-10-19 00:00:00.000,2008-10-19 00:00:00.000,,1,,,,66,Y
*,MQA/SP/0005C/05,Skills Programme: The Examination and Declaring Safe of a Workplace in Underground: Wall Mining,,85,2005-10-19 00:00:00.000,2008-10-19 00:00:00.000,,1,,,,66,Y
*,49014,National Certificate in  Rockbreaking for Underground Hard Rock (version 2),3,130,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,49014,,,46,Y
*,49013,National Certificate Mining Operations Underground Hard Rock ,2,140,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,,2,49013,,,60,Y
*,58760,National Certificate: Rock Breaking Underground Hard Rock (Version 3),3,126,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,58760,,2021-711101,44,Y
*,21842,National Certificate: Surface Mining Rockbreaking ,2,147,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,21842,,,20,Y
*,58739,National Certificate in Mining Operations for Underground Hard Rock (version3),2,130,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,58739,,2021-711101,30,Y
*,23654,National Certificate in Generic Management,3,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,23654,,,120,Y
*,MQA/SP/0008/(B)/05,"Skills Programme: The installation, maintenance and removal of support in underground coal mining operations - Roof bolter Machine Support",,63,2005-10-30 00:00:00.000,2008-10-30 00:00:00.000,,1,,,,30,Y
*,MQA/SP/0008(A)/05,"Skills Programme: The installation, maintenance and removal of support in underground coal mining operations - Timber Support",,58,2005-10-30 00:00:00.000,2008-10-30 00:00:00.000,,1,,,,30,Y
*,21841,National Certificate in Winding Engine Driving,3,127,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,21841,,2021-734301,20,Y
*,MQA/SP/0008/05,"Skills Programme: Competent Person B: To install, maintain and remove any support in Underground Coal Mining Operations - Compressed Air / Hydraulic Support V3",,18,2018-07-01 00:00:00.000,2025-06-30 23:59:59.000,,1,,,2021-711101,3,Y
*,Q230033341525,Team Leader,,0,2003-10-08 00:00:00.000,2006-10-08 00:00:00.000,,1,,,,0,Y
*,23Q23006381382,New Venture Creation,,198,2008-05-13 00:00:00.000,2011-05-13 00:00:00.000,,1,,,,48,Y
*,MQA/SP/0071/09,Skills Programme: Conduct Occupational Health and Safety Representative activities in the Mining and Minerals Sector - V2,,11,2009-03-03 00:00:00.000,2010-12-10 00:00:00.000,,1,,,,2,Y
*,MQA/SP/0072/09,Skills Programme: Flotation,,13,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-711201,0,Y
*,21844,National Certificate in Jewellery Manufacture in a Production Environment,3,159,2005-08-03 00:00:00.000,2008-08-03 00:00:00.000,,2,21844,,,0,Y
*,SP/CLA-G017,Skills Programme: Blasting Assistant in Surface Mines and Quarries,,14,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-684202,2,Y
*,SP/CLA-G015 (A),"Skills Programme: Competent Person A- The Examination, making safe and declaring safe of surface mines, quarries, dumps and stockpiles",,27,2018-07-01 00:00:00.000,2018-10-22 00:00:00.000,,1,,,2021-684202,2,Y
*,SP/CLA-G015 (B),"Skills Programme: Competent Person A: The Examination, making safe and declaring safe of surface mines, quarries, dumps and stockpiles",,22,2018-07-01 00:00:00.000,2018-10-22 00:00:00.000,,1,,,,2,Y
*,SP/CLA-G018,Skills Programme: The control of explosives magazines on surface mines and qaurries,,10,2009-06-01 00:00:00.000,2013-10-07 00:00:00.000,,1,,,,0,Y
*,SP/CLA-G016,"Skills Programme: Competent Person B: The installation, maintenance and removal of support units in Surface Mines and Quarries",,29,2018-07-01 00:00:00.000,2020-02-14 00:00:00.000,,1,,,2021-684202,2,Y
*,MQA/SP/0073/09,Skills Programme: Small and Micro businesses in the diamond processing industry,,26,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-661302,0,Y
*,MQA/SP/0074/09,Skills Programme: Rough Sorting of Diamond Gemstones,,45,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-661302,0,Y
*,MQA/SP/0075/09,Skills Programme: Rough Evaluation of Diamond Gemstones,,50,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,1,,,2021-661302,0,Y
