ID,Description,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime
1,Unit Standard Based,2012-08-24 11:43:06.703,0,2012-08-24 11:43:06.703,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
2,Non Unit Standard Based,2012-08-24 11:43:19.873,0,2012-08-24 11:43:19.873,0,0,2022-12-07 10:33:46.3387276,9999-12-31 23:59:59.9999999
