ID,UnitGroupID,Code,Description,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime
36,10,2021-122101,Sales and Marketing Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
37,10,2021-122102,Sales Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
38,10,2021-122103,Director of Marketing,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
39,10,2021-122104,Interactive and Direct Marketing Strategist,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
40,10,2021-122105,Customer Service Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
41,11,2021-122201,Advertising and Public Relations Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
42,12,2021-122301,Research and Development Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
43,13,2021-131101,Agricultural Farm Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
44,13,2021-131102,"Forestry Operations Manager ",2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
45,13,2021-131103,Forestry Operations Supervisor,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
46,14,2021-131201,Aquaculture Farm Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
47,15,2021-132101,Manufacturer,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
48,15,2021-132102,Manufacturing Operations Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
49,15,2021-132104,Engineering Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
50,15,2021-132105,Power Generation Operations Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
51,15,2021-132106,Manufacturing Quality Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
52,15,2021-132107,Quality Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
53,15,2021-132108,Metrologist,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
54,15,2021-132109,Quality Systems Auditor,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
55,16,2021-132201,Mining Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
56,16,2021-132202,Mineral Resources Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
57,16,2021-132203,Rock Engineering Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
58,17,2021-132301,Construction Project Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
59,17,2021-132302,Project Builder,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
60,18,2021-132401,Supply and Distribution Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
61,18,2021-132402,Logistics Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
62,18,2021-132403,Road Transport Manager,2022-12-12 12:24:12.703,0,2022-12-12 12:24:12.703,0,0,2022-12-12 09:44:26.6120734,9999-12-31 23:59:59.9999999
