AD_Org_ID[Name],Value/K,Name,Description,ZZNqfLevel,ZZCredits,Registrationstartdate,Registrationenddate,ZZLastEnrolmentDate,ZZLastAchievementDate,ZZQualityAssuranceBody,ZZQualificationType,ZZNewRegistrationStartDate,ZZNewRegistrationEndDate,ZZNewLastEnrolmentDate,ZZNewLastAchievementDate,ZZLkpOfoOccupation_ID[Value],ZZMinimumElectiveCredits,IsActive
*,58248,National Certificate in Laboratory Practice,,2,120,2007-06-27 00:00:00.000,2010-06-27 00:00:00.000,2011-06-27 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,2021-134902,0,Y
*,48696,National Certificate  Measurement  Control and Instrumentation ,,3,175,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,2021-661101,0,Y
*,35927,Further Education and Training Certificate in  Payroll Administration Services,,4,153,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,48695,National Certificate Measurement Control and Instrumentation,,2,137,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,2021-661101,0,Y
*,21811,National Certificate: Introduction to Mining and Minerals V2,,1,120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,2009-08-23 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,35926,National Certificate in Payroll Administration Services,,5,240,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,629,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,48914,National Certificate in  Associate General Accountant,,6,547,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,22860,Further Education and Training Certificate in Autotronics,,4,135,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,22858,National Certificate Autotronics,,2,128,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,48912,National Certificate in  Chartered Accountant Financial Management,,7,698,2006-07-01 00:00:00.000,2009-07-01 00:00:00.000,2010-07-01 00:00:00.000,1900-01-01 00:00:00.000,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,24493,National Certificate in  Management,,5,120,2006-05-02 00:00:00.000,2009-05-02 00:00:00.000,2010-05-02 00:00:00.000,2024-01-01 00:00:00.000,611,2,1900-01-01 00:30:00.000,1900-01-01 00:30:00.000,1900-01-01 00:30:00.000,1900-01-01 00:30:00.000,,0,Y
*,13716,National Certificate Professional Driving,,3,120,2003-12-03 00:00:00.000,2006-12-03 00:00:00.000,2007-12-03 00:00:00.000,1900-01-01 00:00:00.000,629,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,22671,National Certificate in Construction Masonry,,3,120,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,21853,National Certificate: Construction Plumbing,,3,159,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,22670,National Certificate: Construction Carpentry,,3,120,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,24273,National Certificate: Community House Building,,2,124,2006-08-01 00:00:00.000,2009-08-01 00:00:00.000,2010-08-01 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,22490,National Certificate General Security Practice,,3,124,2005-11-01 00:00:00.000,2008-11-01 00:00:00.000,2009-11-01 00:00:00.000,1900-01-01 00:00:00.000,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,21854,Further Education and Training Certificate in Use of Firearms,,4,155,2005-11-01 00:00:00.000,2008-11-01 00:00:00.000,2009-11-01 00:00:00.000,1900-01-01 00:00:00.000,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,13739,"Further Education and Training Certificate in Occupation-directed Education, Training and Developmen",,4,126,2000-10-11 00:00:00.000,2003-10-11 00:00:00.000,2004-10-11 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,15541,National Certificate in Abet Practice,,5,120,2007-12-07 00:00:00.000,2010-12-07 00:00:00.000,2011-12-07 00:00:00.000,1900-01-01 00:00:00.000,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,12037,National Certificate in Education: Training and Development,,2,128,2006-01-07 00:00:00.000,2009-01-07 00:00:00.000,2010-01-07 00:00:00.000,1900-01-01 00:00:00.000,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,20838,Further Education and Training Certificate in   ABET Practice,,4,120,2006-11-07 00:00:00.000,2009-11-07 00:00:00.000,2010-11-07 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,49091,National Certificate in Furniture Making Wood,,2,125,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,49105,National Certificate Furniture Making Wood,,3,122,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,49092,Further Education and Training Certificate in Furniture Making Specialism,,4,155,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,23255,National Certificate Mechanical Engineering Fitting and Machining,,3,174,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2024-06-30 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,2021-653303,0,Y
*,49046,National Certificate in Lump Ore Beneficiation (L3),,3,120,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,49049,Further Education and Training Certificate in Lump Ore Beneficiation,,4,135,2007-04-03 00:00:00.000,2010-04-03 00:00:00.000,2011-04-03 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,49044,"National Certificate in Mineral Processing, Gold Extraction",,3,124,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,57121,National Certificate in Rockbreaking: Quarrying,,3,120,2006-12-11 00:00:00.000,2009-12-11 00:00:00.000,2010-12-11 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,58186,National Certificate in Sulphuric Acid Production,,3,134,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,2011-01-01 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,58226,National Certificate in Sulphuric Acid Production,,2,166,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,2011-01-01 00:00:00.000,1900-01-01 00:00:00.000,629,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,58228,Further Education and Training Certificate in Sulphuric Acid Production,,4,146,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,2011-01-01 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,50082,Further Education and Training Certificate in  Minerals Surveying,,4,148,2018-07-01 00:00:00.000,2026-06-30 00:00:00.000,2026-06-30 00:00:00.000,2029-06-30 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,2021-311202,0,Y
*,48972,National Certificate: Plant Production,,1,120,2007-10-30 00:00:00.000,2010-10-30 00:00:00.000,2011-10-30 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,21839,National Certificate In Mining Operations Underground Hardrock Narrow Tabular (Version1),,2,159,2002-06-12 00:00:00.000,2005-06-12 00:00:00.000,2006-06-12 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,21840,National Certificate in Rockbreaking Underground Hardrock Narrow Tabular (Version1),,3,140,2002-06-12 00:00:00.000,2005-06-12 00:00:00.000,2006-06-12 00:00:00.000,1900-01-01 00:00:00.000,629,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,14115,National Certificate in Fast Food Services,,3,138,2007-08-07 00:00:00.000,2010-08-07 00:00:00.000,2011-08-07 00:00:00.000,1900-01-01 00:00:00.000,,2,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
*,23654,National Certificate in Generic Management,,3,120,2006-05-02 00:00:00.000,2012-06-30 00:00:00.000,2013-06-30 00:00:00.000,1900-01-01 00:00:00.000,,1,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,,0,Y
