"AD_Reference_ID[Name]/K","value/K","name","Description","EntityType",_LOG_
ZZLkpQualityAssuranceBody,"557",BANKSETA,2,MQA Learner,"<AD_Ref_List>: Updated BANKSETA / <AD_Ref_List>: Updated BANKSETA / "
ZZLkpQualityAssuranceBody,"559",CHIETA,6,MQA Learner,"<AD_Ref_List>: Updated CHIETA / <AD_Ref_List>: Updated CHIETA / "
ZZLkpQualityAssuranceBody,"561",CTFL,47,MQA Learner,"<AD_Ref_List>: Updated CTFL / <AD_Ref_List>: Updated CTFL / "
ZZLkpQualityAssuranceBody,"577",CETA,4,MQA Learner,"<AD_Ref_List>: Updated CETA / <AD_Ref_List>: Updated CETA / "
ZZLkpQualityAssuranceBody,"581",ETDP,7,MQA Learner,"<AD_Ref_List>: Updated ETDP / <AD_Ref_List>: Updated ETDP / "
ZZLkpQualityAssuranceBody,"583",ESETA,51,MQA Learner,"<AD_Ref_List>: Updated ESETA / <AD_Ref_List>: Updated ESETA / "
ZZLkpQualityAssuranceBody,"585",FASSET,8,MQA Learner,"<AD_Ref_List>: Updated FASSET / <AD_Ref_List>: Updated FASSET / "
ZZLkpQualityAssuranceBody,"587",FOODBEV,11,MQA Learner,"<AD_Ref_List>: Updated FOODBEV / <AD_Ref_List>: Updated FOODBEV / "
ZZLkpQualityAssuranceBody,"589",FIETA,10,MQA Learner,"<AD_Ref_List>: Updated FIETA / <AD_Ref_List>: Updated FIETA / "
ZZLkpQualityAssuranceBody,"591",HWSETA,13,MQA Learner,"<AD_Ref_List>: Updated HWSETA / <AD_Ref_List>: Updated HWSETA / "
ZZLkpQualityAssuranceBody,"593",ISETT,55,MQA Learner,"<AD_Ref_List>: Updated ISETT / <AD_Ref_List>: Updated ISETT / "
ZZLkpQualityAssuranceBody,"595",INSETA,15,MQA Learner,"<AD_Ref_List>: Updated INSETA / <AD_Ref_List>: Updated INSETA / "
ZZLkpQualityAssuranceBody,"597",LGSETA,17,MQA Learner,"<AD_Ref_List>: Updated LGSETA / <AD_Ref_List>: Updated LGSETA / "
ZZLkpQualityAssuranceBody,"599",MERSETA,18,MQA Learner,"<AD_Ref_List>: Updated MERSETA / <AD_Ref_List>: Updated MERSETA / "
ZZLkpQualityAssuranceBody,"601",MAPPP-SETA,56,MQA Learner,"<AD_Ref_List>: Updated MAPPP-SETA / <AD_Ref_List>: Updated MAPPP-SETA / "
ZZLkpQualityAssuranceBody,"607",PSETA,59,MQA Learner,"<AD_Ref_List>: Updated PSETA / <AD_Ref_List>: Updated PSETA / "
ZZLkpQualityAssuranceBody,"611",SERVICES SETA,65,MQA Learner,"<AD_Ref_List>: Updated SERVICES SETA / <AD_Ref_List>: Updated SERVICES SETA / "
ZZLkpQualityAssuranceBody,"613",THETA,67,MQA Learner,"<AD_Ref_List>: Updated THETA / <AD_Ref_List>: Updated THETA / "
ZZLkpQualityAssuranceBody,"615",TETA,66,MQA Learner,"<AD_Ref_List>: Updated TETA / <AD_Ref_List>: Updated TETA / "
ZZLkpQualityAssuranceBody,"617",W&RSETA,69,MQA Learner,"<AD_Ref_List>: Updated W&RSETA / <AD_Ref_List>: Updated W&RSETA / "
ZZLkpQualityAssuranceBody,"621",CHE,5,MQA Learner,"<AD_Ref_List>: Updated CHE / <AD_Ref_List>: Updated CHE / "
ZZLkpQualityAssuranceBody,"629",MQA,57,MQA Learner,"<AD_Ref_List>: Updated MQA / <AD_Ref_List>: Updated MQA / "
ZZLkpQualityAssuranceBody,"631",SAPC,63,MQA Learner,"<AD_Ref_List>: Updated SAPC / <AD_Ref_List>: Updated SAPC / "
ZZLkpQualityAssuranceBody,"637",PAB,58,MQA Learner,"<AD_Ref_List>: Updated PAB / <AD_Ref_List>: Updated PAB / "
ZZLkpQualityAssuranceBody,"639",SABPP,61,MQA Learner,"<AD_Ref_List>: Updated SABPP / <AD_Ref_List>: Updated SABPP / "
ZZLkpQualityAssuranceBody,"651",SAICA,20,MQA Learner,"<AD_Ref_List>: Updated SAICA / <AD_Ref_List>: Updated SAICA / "
ZZLkpQualityAssuranceBody,"657",SANC,62,MQA Learner,"<AD_Ref_List>: Updated SANC / <AD_Ref_List>: Updated SANC / "
ZZLkpQualityAssuranceBody,"692",HPCSA,16,MQA Learner,"<AD_Ref_List>: Updated HPCSA / <AD_Ref_List>: Updated HPCSA / "
ZZLkpQualityAssuranceBody,"694",AgriSETA,1,MQA Learner,"<AD_Ref_List>: Updated AgriSETA / <AD_Ref_List>: Updated AgriSETA / "
ZZLkpQualityAssuranceBody,"695",SASSETA,64,MQA Learner,"<AD_Ref_List>: Updated SASSETA / <AD_Ref_List>: Updated SASSETA / "
ZZLkpQualityAssuranceBody,"754",FPMSETA,12,MQA Learner,"<AD_Ref_List>: Updated FPMSETA / <AD_Ref_List>: Updated FPMSETA / "
ZZLkpQualityAssuranceBody,"755",CATHSSETA,3,MQA Learner,"<AD_Ref_List>: Updated CATHSSETA / <AD_Ref_List>: Updated CATHSSETA / "
ZZLkpQualityAssuranceBody,"756",MICT,19,MQA Learner,"<AD_Ref_List>: Updated MICT / <AD_Ref_List>: Updated MICT / "
ZZLkpQualityAssuranceBody,"9",FETMIS,9,MQA Learner,"<AD_Ref_List>: Updated FETMIS / <AD_Ref_List>: Updated FETMIS / "
ZZLkpQualityAssuranceBody,"14",IEB,14,MQA Learner,"<AD_Ref_List>: Updated IEB / <AD_Ref_List>: Updated IEB / "
ZZLkpSkillsProgrammeType,Leads to a Qualification,Leads to a Qualification,2,MQA Learner,"<AD_Ref_List>: Updated Leads to a Qualification / <AD_Ref_List>: Updated Leads to a Qualification / "
ZZLkpSkillsProgrammeType,Mine Community,Mine Community,3,MQA Learner,"<AD_Ref_List>: Updated Mine Community / <AD_Ref_List>: Updated Mine Community / "
ZZLkpSkillsProgrammeType,Small Scale Projects,Small Scale Projects,4,MQA Learner,"<AD_Ref_List>: Updated Small Scale Projects / <AD_Ref_List>: Updated Small Scale Projects / "
ZZLkpSkillsProgrammeType,Standalone,Standalone,1,MQA Learner,"<AD_Ref_List>: Updated Standalone / <AD_Ref_List>: Updated Standalone / "
ZZLkpSkillsProgrammeType,Unemployed Youth Development,Unemployed Youth Development,5,MQA Learner,"<AD_Ref_List>: Updated Unemployed Youth Development / <AD_Ref_List>: Updated Unemployed Youth Development / "
ZZLkpUnitStandardType,Compulsory Elective,Compulsory Elective,4,MQA Learner,"<AD_Ref_List>: Updated Compulsory Elective / <AD_Ref_List>: Updated Compulsory Elective / "
ZZLkpUnitStandardType,Core,Core,1,MQA Learner,"<AD_Ref_List>: Inserted Core / <AD_Ref_List>: Inserted Core / "
ZZLkpUnitStandardType,Elective,Elective,3,MQA Learner,"<AD_Ref_List>: Inserted Elective / <AD_Ref_List>: Inserted Elective / "
ZZLkpUnitStandardType,Fundamental,Fundamental,2,MQA Learner,"<AD_Ref_List>: Updated Fundamental / <AD_Ref_List>: Updated Fundamental / "
