ID,Description,Code,ProvinceID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted
57,Abbott's College.,105000798,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
58,Abbotts College-Northcliff,700400173,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
59,Abbotts College-Pretoria East,700400183,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
60,Abc,700231076,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
61,Abc Day Care Centre( Scenary Park),200801494,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
62,Abc Educare Centre,100000074,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
63,Abc Ikageng,907203056,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
64,Abc Ikageng Pre School,971104208,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
65,Abc Nursery,700160101,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
66,Abc Nursery And Pre-School,700890069,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
67,Abc Primary School,700400187,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
68,Abcs Christian H,500499648,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
69,Abdullah Bin Salaam Islamic Centre,700400616,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
70,Abe Maart,108003380,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
71,Abedare Prim,107008336,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
72,Abeile Ruche School (Century City),100000292,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
73,Abeille Ruche School,102008285,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
74,Abel Motshoane High School,700910007,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
75,Abel Secondary,918510019,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
76,Abeneza Day Care,975503215,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
77,Aberdeen Primary Public School,200100003,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
78,Aberdeen Secondary School,200100005,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
79,Aberfeldy Pf/S,441705146,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
80,Abinala Primary School,700161687,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
81,Abiot Kolobe Primary,921140014,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
82,Abontle Primary,600100009,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
83,Aboukir,445203119,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
84,Abra Kedabra Creche,101008261,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
85,Abraham,200800875,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
86,Abraham Levy Primary School,200100006,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
