ID,Description,SAQACode,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime
37,Adelaide SP,2011-277005002,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
38,Adendorp,2011-261003005,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
39,Admin,2011-797031007,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
40,Admiral Island and Port Owen Estates,2011-162006004,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
41,Admirals Kloof,2011-199053015,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
42,Admirals Park,2011-199055002,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
43,Adriaanse,2011-199024004,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
44,Aerorand,2011-869005010,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
45,Aeroton,2011-798015166,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
46,Aerovaal,2011-760009010,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
47,Aeroville,2011-262003005,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
48,AF Sterk Spruit Mine,2011-599004003,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
49,Afton SP,2011-968010001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
50,Afzondering SP,2011-295035001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
51,Aganang NU,2011-970002001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
52,Agavia,2011-763004033,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
53,Aggeneys SP,2011-368006001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
54,Agisanang,2011-383005035,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
55,Agisaneng SP,2011-660020001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
56,Agnes SP,2011-283086001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
57,Agriculture Squatter Camp,2011-960029009,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
58,Agulhas SP,2011-173007001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
59,Air Force Hoedspruit SP,2011-964030001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
60,Airfield,2011-797011035,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
61,Airlie,2011-199041095,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
62,Airport Industrial,2011-524010016,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
63,Akasia,2011-982123003,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
64,Akasia Park,2011-378013004,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
65,Akasia Park Ext 2,2011-378013006,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
66,Akasia Park Ext 3,2011-378013002,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
67,Akkerendam Nature Reserve,2011-366005001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
68,Alabama,2011-677006019,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
69,Alan Manor,2011-798015203,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
70,Albany,2011-599100004,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
71,Albemarle,2011-797008069,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
72,Alberante,2011-797029005,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
73,Albersville,2011-506014006,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
74,Albert Falls Public Resort Nature Reserve,2011-563002003,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
75,Albert Falls SP,2011-562027001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
76,Albert Luthuli NU,2011-860002001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
77,Albertinia SP,2011-175005001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
78,Alberton SP,2011-797029001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
79,Albertsdal,2011-797029017,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
80,Albertskroon,2011-798016073,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
81,Albertsnek SP,2011-876022001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
82,Albertville,2011-798016076,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
83,Albertynshof,2011-383006034,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
84,Albina,2011-599100006,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
85,Alcockspruit SP,2011-524024001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
86,Aldara Park,2011-798016053,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
87,Aldie SP,2011-874052001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
88,Alexander Bay SP,2011-363007001,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
89,Alexander Park,2011-599116010,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
90,Alexander Park Industrial,2011-299003038,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
91,Alexandra Ext 1,2011-798014056,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
92,Alexandra Ext 10,2011-798014048,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
93,Alexandra Ext 11,2011-798014053,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
94,Alexandra Ext 12,2011-798014061,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
95,Alexandra Ext 13,2011-798014045,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
96,Alexandra Ext 14,2011-798014066,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
97,Alexandra Ext 15,2011-798014062,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
98,Alexandra Ext 16,2011-798014046,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
99,Alexandra Ext 17,2011-798014051,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
100,Alexandra Ext 18,2011-798014073,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
101,Alexandra Ext 19,2011-798014047,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
102,Alexandra Ext 2,2011-798014054,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
103,Alexandra Ext 20,2011-798014052,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
104,Alexandra Ext 21,2011-798014074,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
105,Alexandra Ext 22,2011-798014067,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
106,Alexandra Ext 23,2011-798014072,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
107,Alexandra Ext 24,2011-798014069,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
108,Alexandra Ext 26,2011-798014070,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
109,Alexandra Ext 27,2011-798014068,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
110,Alexandra Ext 28,2011-798014071,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
111,Alexandra Ext 29,2011-798014065,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
